Status,Date,Description,Debit,Credit
Cleared,12/30/2019,"EASYPAY METROCARD 877-323-7433",30.00,
Cleared,12/29/2019,"ADORAMA, INC ECOMMERC 212-74104017",15.24,
Cleared,12/26/2019,"ONLINE PAYMENT, THANK YOU",,-221.59
Cleared,12/13/2019,"SPECTRUM 855-707-7328",69.99,
Cleared,12/12/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",9.99,
Cleared,12/10/2019,"RESELLERS PANEL. RESEL UNITED KINGDO",85.40,
Cleared,12/09/2019,"CATBIRD STORE 93055341 BROOKLYN",339.69,
Cleared,12/05/2019,"EASYPAY METROCARD 877-323-7433",30.00,
Cleared,12/02/2019,"GOOGLE*GOOGLE STORAGE G.CO HELPPAY",2.99,
Cleared,12/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,11/29/2019,"GOOGLE *DEEPDISCOUNT G.CO/HELPPAY#",72.05,
Cleared,11/27/2019,"ONLINE PAYMENT, THANK YOU",,-290.74
Cleared,11/23/2019,"7-ELEVEN 35255 0007352 ITHACA",7.60,
Cleared,11/23/2019,"SUNOCO 0382823300 0382 MIDDLETOWN",28.04,
Cleared,11/23/2019,"SAIGON KITCHEN 1467270 ITHACA",28.92,
Cleared,11/12/2019,"SPECTRUM 855-707-7328",69.99,
Cleared,11/02/2019,"GOOGLE*GOOGLE STORAGE G.CO HELPPAY",2.99,
Cleared,11/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,10/31/2019,"ONLINE PAYMENT, THANK YOU",,-247.34
Cleared,10/30/2019,"DUANE READE #14480 000 NEW YORK",8.68,
Cleared,10/30/2019,"USPS PO 3596580058 001 NEW YORK",10.40,
Cleared,10/18/2019,"EASYPAY METROCARD 877-323-7433",30.00,
Cleared,10/15/2019,"USPS PO 3596580058 001 NEW YORK",22.60,
Cleared,10/13/2019,"SPECTRUM 855-707-7328",69.99,
Cleared,10/09/2019,"SUNRISE MART 739290001 NEW YORK",10.09,
Cleared,10/02/2019,"COUNTY CLERK NEW YORK NEW YORK",121.00,
Cleared,10/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,10/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,09/30/2019,"ONLINE PAYMENT, THANK YOU",,-581.48
Cleared,09/24/2019,"EL CAMION 000000001 NEW YORK",32.96,
Cleared,09/21/2019,"NYCT EASYPAY PROGRAM NEWYORK",30.00,
Cleared,09/12/2019,"SPECTRUM 718-358-0900",69.99,
Cleared,09/06/2019,"AXS.COM*FOREST HILLS 888-929-7849",102.39,
Cleared,09/02/2019,"GOOGLE*GOOGLE STORAGE G.CO HELPPAY",2.99,
Cleared,09/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,09/01/2019,"AUTO 800-841-3000",496.50,
Cleared,08/31/2019,"ONLINE PAYMENT, THANK YOU",,-165.88
Cleared,08/12/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,08/02/2019,"TILE, INC. SAN MATEO",19.61,
Cleared,08/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,08/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,07/31/2019,"ONLINE PAYMENT, THANK YOU",,-81.99
Cleared,07/20/2019,"NYCT EASYPAY PROGRAM NEWYORK",30.00,
Cleared,07/19/2019,"PETOPIA 65000000793190 NEW YORK",28.30,
Cleared,07/13/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,07/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,07/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,06/30/2019,"ONLINE PAYMENT, THANK YOU",,-1542.56
Cleared,06/12/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,06/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,06/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,05/31/2019,"ONLINE PAYMENT, THANK YOU",,-3306.10
Cleared,05/27/2019,"NYCT EASYPAY PROGRAM NEWYORK",30.00,
Cleared,05/21/2019,"RESELLERS PANEL. RESEL UNITED KINGDO",26.00,
Cleared,05/21/2019,"USPS PO 3596470047 001 NEW YORK",24.60,
Cleared,05/20/2019,"LARRY'S FREEWHEELING 9 NEW YORK",47.65,
Cleared,05/17/2019,"USPS KIOSK 3596479551 NEW YORK",33.45,
Cleared,05/16/2019,"ROSE BRAND WIPERS*ROSE SECAUCUS",5.33,
Cleared,05/16/2019,"THE HOME DEPOT #1255 LONG ISLAND C",23.38,
Cleared,05/16/2019,"ROSE BRAND WIPERS*ROSE SECAUCUS",900.98,
Cleared,05/13/2019,"BA'AL FALAFEL New York",27.04,
Cleared,05/08/2019,"BAKER'S PIZZA INC New York",14.40,
Cleared,05/08/2019,"CHIPOTLE 0642 0010 NEW YORK",10.29,
Cleared,05/07/2019,"HFT PAYEEZY EOM CALABASAS",17.18,
Cleared,05/07/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,05/06/2019,"METROPOLITAN 103989 NEW YORK",12.40,
Cleared,05/06/2019,"SPEEDWAY 07651 5429298 UTICA",17.91,
Cleared,05/06/2019,"VALERO FUEL MAHWAH 000 MAHWAH",34.05,
Cleared,05/06/2019,"HOMEDEPOT.COM 800-430-3376",67.48,
Cleared,05/05/2019,"I RAMEN BAR NEW HARTFORD",14.91,
Cleared,05/04/2019,"DENNY'S #7357 00000000 UTICA",7.59,
Cleared,05/04/2019,"VALERO FUEL MAHWAH 000 MAHWAH",13.96,
